Id	CAS	SMILES	Status	Experimental value	Predicted value
3089	431-63-0	FC(F)C(F)C(F)(F)F	Training	NON-Mutagen	NON-Mutagen
3090	431-89-0	FC(C(F)(F)F)C(F)(F)F	Training	NON-Mutagen	NON-Mutagen
3091	43192-03-6	O=[N+]([O-])c1cc(ccc1C)NO	Training	NON-Mutagen	NON-Mutagen
3092	43192-07-0	ONc1ccc(c(c1)C)C	Training	Mutagen	Mutagen
3093	43218-55-9	n4c2ccc(c3c1ccc(cc1Sc(c23)n4CCN(CC)CC)Cl)C	Training	Mutagen	Mutagen
3094	4332-51-8	c1ccc(cc1)CSCCCl	Training	Mutagen	Mutagen
3095	4337-51-3	O=C1NSc2cc(ccc12)[N+](=O)[O-]	Training	Mutagen	NON-Mutagen
3096	4337-65-9	O=C(O)CCCCC(=O)OCC(CC)CCCC	Training	NON-Mutagen	NON-Mutagen
3097	434-13-9	O=C(O)CCC(C)C2CCC3C4CCC1CC(O)CCC1(C)C4(CCC23(C))	Training	NON-Mutagen	NON-Mutagen
3098	4359-61-9	O=C(N(N)C(=O)C)C	Training	NON-Mutagen	Mutagen
3099	437-50-3	O=C1c3cc(O)ccc3(Oc2cc(OC)cc(O)c12)	Training	Mutagen	Mutagen
3100	439-14-5	O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)C	Training	NON-Mutagen	NON-Mutagen
3101	4394-00-7	O=C(O)c2cccnc2(Nc1cccc(c1)C(F)(F)F)	Training	NON-Mutagen	NON-Mutagen
3102	4399-80-8	O=C(N)C1CC(N(O)C1(C)(C))(C)C	Training	NON-Mutagen	NON-Mutagen
3103	4403-61-6	N#CC(=CC)C	Training	NON-Mutagen	NON-Mutagen
3104	4406-41-1	O=C(Nc1ccccc1)C(C)C	Training	NON-Mutagen	NON-Mutagen
3105	4424-06-0	O=C3c5ccc7c8nc1ccccc1n8(C(=O)c6ccc(c4nc2ccccc2n34)c5c67)	Training	Mutagen	Mutagen
3106	4426-50-0	O=S1(=O)(OCCC(O1)C)	Training	Mutagen	Mutagen
3107	4430-25-5	O=S4(=O)(OC(c1cc(c(O)c(c1)Br)Br)(c2cc(c(O)c(c2)Br)Br)c3c(c(c(c(c34)Br)Br)Br)Br)	Training	NON-Mutagen	NON-Mutagen
3108	443-48-1	O=[N+]([O-])c1cnc(n1CCO)C	Training	Mutagen	Mutagen
3109	4435-53-4	O=C(OCCC(OC)C)C	Training	NON-Mutagen	NON-Mutagen
3110	4436-24-2	O1CC1Cc2ccccc2	Training	Mutagen	Mutagen
3111	4437-51-8	O=C(C(=O)CC)CC	Training	Mutagen	NON-Mutagen
3112	4444-68-2	N(CC)(CC)CCCC	Training	NON-Mutagen	NON-Mutagen
3113	4450-68-4	O=[N+]([O-])c1ccc(cc1)COS(=O)(=O)c2ccc(cc2)C	Training	Mutagen	NON-Mutagen
3114	4457-41-4	O=C(OCc1ccc(cc1)[N+](=O)[O-])c2ccccc2	Training	Mutagen	NON-Mutagen
3115	4460-86-0	O=Cc1cc(OC)c(OC)cc1(OC)	Training	NON-Mutagen	NON-Mutagen
3116	4463-22-3	O=C(N(O)c1ccc(cc1)c2ccccc2)C	Training	Mutagen	Mutagen
3117	4465-94-5	O=P(O)(NCCCO)N(CCCl)CCCl	Training	Mutagen	Mutagen
3118	448-19-1	O=[N+]([O-])c1ccc(F)cc1(OC)	Training	Mutagen	Mutagen
3119	448-97-5	Fc1cc(ccc1(N))c2ccc(N)c(F)c2	Training	Mutagen	Mutagen
3120	4494-26-2	O=CC1=CN(C(=O)NC1(=O))C2OC(CO)C(O)C2	Training	NON-Mutagen	NON-Mutagen
3121	4513-36-4	O=C(OCC(C)(C)C)C=C	Training	NON-Mutagen	NON-Mutagen
3122	4514-19-6	c1ccc5c(c1)cc3ccc2cccc4c2c3c5(cc4C)	Training	Mutagen	Mutagen
3123	452-86-8	Oc1ccc(cc1(O))C	Training	NON-Mutagen	NON-Mutagen
3124	4531-49-1	O=C(Nc1ccccc1(OC))C(N=Nc2ccc(cc2Cl)c4ccc(N=NC(C(=O)Nc3ccccc3(OC))C(=O)C)c(c4)Cl)C(=O)C	Training	NON-Mutagen	Mutagen
3125	4533-39-5	O=[N+]([O-])c3cccc2nc1ccccc1c(NCCCN(C)C)c23	Training	Mutagen	Mutagen
3126	4539-51-9	Nc1ccc3c(c1)[nH]c2ccccc23	Training	Mutagen	Mutagen
3127	4543-63-9	O=C(ONC(=O)NC)NC	Training	Mutagen	Mutagen
3128	4553-62-2	N#CCCC(C#N)C	Training	Mutagen	NON-Mutagen
3129	4559-64-2	n1c3ccc(cc3(nc2cc(N)c(N)cc12))Cl	Training	Mutagen	Mutagen
3130	4560-58-1	O=C(O)CCC(C)C2CCC3C4CCC1CC(O)CCC1(C)C4(CC(=O)C23(C))	Training	NON-Mutagen	NON-Mutagen
3131	456-27-9	N#[N+]c1ccc(cc1)[N+](=O)[O-]	Training	Mutagen	Mutagen
3132	4568-36-9	O=S(=O)(c1cc(cc(c1(O))Cl)Cl)c2cc(cc(c2(O))Cl)Cl	Training	NON-Mutagen	NON-Mutagen
3133	4569-77-1	Oc1cc2nc3ccccc3(nc2(cc1(N)))	Training	Mutagen	Mutagen
3134	458-37-7	O=C(C=Cc1ccc(O)c(OC)c1)CC(=O)C=Cc2ccc(O)c(OC)c2	Training	NON-Mutagen	NON-Mutagen
3135	4584-49-0	N(C)(C)CC(C)Cl	Training	Mutagen	Mutagen
3136	4584-57-0	O=[N+]([O-])c2ccc(C=Cc1ccc(cc1)N(C)C)cc2	Training	Mutagen	Mutagen
3137	459-56-3	Fc1ccc(cc1)CO	Training	NON-Mutagen	NON-Mutagen
3138	4606-98-8	O=S(=O)(OCc1ccc(cc1)C)c2ccc(cc2)C	Training	NON-Mutagen	NON-Mutagen
3139	4612-63-9	c1ccc3c(c1)c2cc(c(cc2C3)C)C	Training	NON-Mutagen	NON-Mutagen
3140	461-58-5	N#CNC(=N)N	Training	Mutagen	NON-Mutagen
3141	461-72-3	O=C1NC(=O)CN1	Training	NON-Mutagen	Mutagen
3142	462-60-2	O=C(N)NCC(=O)O	Training	NON-Mutagen	Mutagen
3143	462-95-3	O(COCC)CC	Training	NON-Mutagen	Mutagen
3144	4629-58-7	O=[N+]([O-])c2ccc(C=Cc1ccc(N)cc1)cc2	Training	Mutagen	Mutagen
3145	463-04-7	O=NOCCCCC	Training	Mutagen	Mutagen
3146	463-40-1	O=C(O)CCCCCCCC=CCC=CCC=CCC	Training	NON-Mutagen	NON-Mutagen
3147	463-51-4	O=C=C	Training	Mutagen	Mutagen
3148	463-58-1	O=C=S	Training	Mutagen	NON-Mutagen
3149	4637-56-3	[O-][n+]2ccc(NO)c1ccccc12	Training	Mutagen	Mutagen
3150	464-10-8	O=[N+]([O-])C(Br)(Br)Br	Training	Mutagen	Mutagen
3151	4648-33-3	O=[N+]([O-])c2ccc(C=Cc1ccc(OC)cc1)cc2	Training	Mutagen	Mutagen
3152	4648-54-8	[N-]=[N+]=N[Si](C)(C)C	Training	Mutagen	Mutagen
3153	4651-67-6	O=C(O)CCC(C)C3CCC2C4C(=O)CC1CC(O)CCC1(C)C4(CCC23(C))	Training	NON-Mutagen	NON-Mutagen
3154	4655-34-9	O=C(OC(C)C)C(=C)C	Training	NON-Mutagen	NON-Mutagen
3155	4659-45-4	O=C(c1c(cccc1Cl)Cl)Cl	Training	Mutagen	Mutagen
3156	4671-93-6	N#C[Se]Cc1ccccc1	Training	Mutagen	NON-Mutagen
3157	46817-91-8	O(c2ccccc2(OCC1OCCNC1))CC	Training	NON-Mutagen	NON-Mutagen
3158	4685-14-7	c1c[n+](ccc1c2cc[n+](cc2)C)C	Training	NON-Mutagen	NON-Mutagen
3159	4691-65-0	O=P(O)(O)OCC3OC(n2cnc1c(O)ncnc12)C(O)C3(O)	Training	NON-Mutagen	Mutagen
3160	469-83-0	OCC4(O)(CC35(CCC2c1ccoc1CCC2(C)C5(CCC4(C3))))	Training	NON-Mutagen	NON-Mutagen
3161	4698-96-8	O(c1ccc(cc1)c2ccccc2)CC3OC3	Training	Mutagen	Mutagen
3162	470-82-6	O1C(C)(C)C2CCC1(C)CC2	Training	NON-Mutagen	NON-Mutagen
3163	47165-04-8	N=C(N)c1ccc(cc1)c2cc3ccc(cc3([nH]2))C(=N)N	Training	NON-Mutagen	NON-Mutagen
3164	471-80-7	O=C(O)C4(C)(CCCC2(C)(C4(CCC13(CC(=C)C(O)(CCC12)C3))))	Training	Mutagen	NON-Mutagen
3165	473-55-2	CC1CCC2CC1C2(C)(C)	Training	NON-Mutagen	NON-Mutagen
3166	473-90-5	O=C(O)C(=O)C(=O)O	Training	NON-Mutagen	NON-Mutagen
3167	4741-24-6	O2OC4c1ccccc1C2c3ccccc34	Training	NON-Mutagen	Mutagen
3168	475-38-7	O=C1C=CC(=O)c2c(O)ccc(O)c12	Training	Mutagen	Mutagen
3169	475-75-2	O=C2c4nccc5cc1OCOc1c(c3ccccc23)c45	Training	Mutagen	Mutagen
3170	475-80-9	O=C(O)c2cc1OCOc1c3c4ccccc4(cc(c23)[N+](=O)[O-])	Training	Mutagen	Mutagen
3171	476-43-7	O=C1c3c(O)ccc(O)c3(C(=O)c2c(O)c(cc(O)c12)C)	Training	Mutagen	Mutagen
3172	476-46-0	O=C1c3cc(O)cc(O)c3(C(=O)c2c(O)cc(c(O)c12)C)	Training	Mutagen	Mutagen
3173	476-57-3	O=C1c3cc(OC)cc(O)c3(C(=O)c2c(O)cc(c(O)c12)C)	Training	Mutagen	Mutagen
3174	476-60-8	Oc1ccc(O)c2c(O)c3ccccc3(c(O)c12)	Training	Mutagen	Mutagen
3175	476-66-4	O=C1Oc3c(O)c(O)cc4C(=O)Oc2c(O)c(O)cc1c2c34	Training	NON-Mutagen	NON-Mutagen
3176	476-71-1	Oc1c(OC)cc4c3c1c2cc5OCOc5(cc2CC3N(C)CC4)	Training	NON-Mutagen	Mutagen
3177	477-30-5	O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC)	Training	NON-Mutagen	NON-Mutagen
3178	477-83-8	O=C1c3ccccc3(C(=O)c2c(OC)c(c(O)cc12)CO)	Training	Mutagen	NON-Mutagen
3179	477-84-9	O=Cc1c(O)cc2C(=O)c3ccccc3(C(=O)c2(c1(OC)))	Training	NON-Mutagen	Mutagen
3180	478-06-8	O=C(O)c1c(O)cc2C(=O)c3ccccc3(C(=O)c2(c1(O)))	Training	NON-Mutagen	Mutagen
3181	478-08-0	O=C1c3ccccc3(C(=O)c2c(O)c(c(O)cc12)CO)	Training	Mutagen	Mutagen
3182	478-43-3	O=C(O)c1cc(O)c2C(=O)c3c(O)cccc3(C(=O)c2(c1))	Training	Mutagen	NON-Mutagen
3183	478-45-5	O=C(O)c1cc(O)c2C(=O)c3c(O)cc(O)cc3(C(=O)c2(c1))	Training	NON-Mutagen	Mutagen
3184	479-13-0	O=C3Oc1cc(O)ccc1c4oc2cc(O)ccc2c34	Training	NON-Mutagen	Mutagen
3185	479-27-6	Nc1cccc2cccc(N)c12	Training	Mutagen	Mutagen
3186	4792-83-0	[O-][N+](=Nc1ccc(OCC)cc1)c2ccc(OCC)cc2	Training	NON-Mutagen	Mutagen
3187	479-45-8	O=[N+]([O-])c1cc(c(c(c1)[N+](=O)[O-])N([N+](=O)[O-])C)[N+](=O)[O-]	Training	Mutagen	Mutagen
3188	479-50-5	O=C2c1ccccc1Sc3c(ccc(NCCN(CC)CC)c23)C	Training	Mutagen	Mutagen
3189	479-79-8	O=C3c1ccccc1c4ccc2ccccc2c34	Training	NON-Mutagen	Mutagen
3190	479-92-5	O=C2C(=C(N(N2(c1ccccc1))C)C)C(C)C	Training	NON-Mutagen	NON-Mutagen
3191	480-22-8	Oc2cccc3cc1cccc(O)c1c(O)c23	Training	NON-Mutagen	Mutagen
3192	480-54-6	O=C1OC3CCN2CC=C(COC(=O)C(O)(CO)C(C)CC1(=CC))C23	Training	Mutagen	Mutagen
3193	480-81-9	O=C1OC3CCN2CC=C(COC(=O)C(O)(C(=C)CC1(=CC))C)C23	Training	Mutagen	NON-Mutagen
3194	480-85-3	OCC1=CCN2CCC(O)C12	Training	NON-Mutagen	NON-Mutagen
3195	4809-35-2	OC(COc1ccc(cc1)C(c2ccc(OCC(O)CCl)cc2)(C)C)CCl	Training	NON-Mutagen	Mutagen
3196	4812-40-2	O=[N+]([O-])c1cnc(n1CCO)CO	Training	Mutagen	Mutagen
3197	48134-75-4	c1ccc(cc1)c2cc[n+](cc2)C	Training	NON-Mutagen	NON-Mutagen
3198	4813-50-7	OOCCCC	Training	Mutagen	Mutagen
3199	481-39-0	O=C1C=CC(=O)c2c(O)cccc12	Training	Mutagen	Mutagen
3200	481-42-5	O=C1C=C(C(=O)c2cccc(O)c12)C	Training	Mutagen	Mutagen
3201	481-49-2	O4c1ccc(cc1)CC7c6c(Oc2cc3c(cc2(OC))CCN(C)C3Cc5ccc(OC)c4c5)c8OCOc8(cc6CCN7(C))	Training	Mutagen	NON-Mutagen
3202	4816-14-2	N=C(N)c1ccc(cc1)c3cc2ccc(cc2s3)C(=N)N	Training	NON-Mutagen	NON-Mutagen
3203	481-72-1	O=C1c3cccc(O)c3(C(=O)c2c(O)cc(cc12)CO)	Training	Mutagen	Mutagen
3204	481-73-2	O=C1c3cc(O)cc(O)c3(C(=O)c2c(O)cc(cc12)CO)	Training	Mutagen	Mutagen
3205	481-74-3	O=C1c3cccc(O)c3(C(=O)c2c(O)cc(cc12)C)	Training	Mutagen	Mutagen
3206	482-27-9	O=C2Oc3c(OC)c1occc1c(OC)c3(C=C2)	Training	NON-Mutagen	NON-Mutagen
3207	4823-47-6	O=C(OCCBr)C=C	Training	Mutagen	Mutagen
3208	482-44-0	O=C1Oc2c(OCC=C(C)C)c3occc3(cc2(C=C1))	Training	Mutagen	NON-Mutagen
3209	4825-86-9	O=C2OC(C)Cc3ccc(C(=O)NC(C(=O)O)Cc1ccccc1)c(O)c23	Training	NON-Mutagen	NON-Mutagen
3210	482-66-6	c1ccc4c(c1)ccc2c4(ccc3c2CCC3)	Training	NON-Mutagen	Mutagen
3211	483-65-8	c2cc1c3ccc(cc3(ccc1c(c2)C))C(C)C	Training	NON-Mutagen	Mutagen
3212	4836-66-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])CO	Training	Mutagen	NON-Mutagen
3213	483-84-1	O=[N+]([O-])c1cc(c2ccc(cc2(c1(O)))S(=O)(=O)O)[N+](=O)[O-]	Training	Mutagen	NON-Mutagen
3214	484-08-2	n2c1occc1c(OC)c3cc(OC)c(OC)cc23	Training	Mutagen	Mutagen
3215	484-17-3	Oc2cc1ccccc1c3ccccc23	Training	Mutagen	Mutagen
3216	484-23-1	n1nc(NN)c2ccccc2(c1NN)	Training	Mutagen	Mutagen
3217	484-29-7	n2c1occc1c(OC)c3ccccc23	Training	Mutagen	NON-Mutagen
3218	484-47-9	n2c([nH]c(c1ccccc1)c2c3ccccc3)c4ccccc4	Training	Mutagen	Mutagen
3219	484-78-6	O=C(O)C(N)CC(=O)c1cccc(O)c1(N)	Training	NON-Mutagen	NON-Mutagen
3220	4861-85-2	O=C(OC(C)C)Cc1ccccc1	Training	NON-Mutagen	NON-Mutagen
3221	486-25-9	O=C2c1ccccc1c3ccccc23	Training	NON-Mutagen	Mutagen
3222	486-56-6	O=C2N(C)C(c1cnccc1)CC2	Training	NON-Mutagen	NON-Mutagen
3223	486-66-8	O=C1C(=COc2cc(O)ccc12)c3ccc(O)cc3	Training	NON-Mutagen	NON-Mutagen
3224	4873-56-7	O=S(=O)(OCC(C)C)c1ccc(cc1)C	Training	NON-Mutagen	Mutagen
3225	487-99-0	O=C(OCC2CCN1CCCC12)C(O)(C(O)C)C(C)C	Training	NON-Mutagen	NON-Mutagen
3226	488-11-9	O=CC(=C(C(=O)O)Br)Br	Training	Mutagen	Mutagen
3227	488-23-3	c1cc(c(c(c1C)C)C)C	Training	NON-Mutagen	NON-Mutagen
3228	4901-51-3	Oc1cc(c(c(c1Cl)Cl)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
3229	490-91-5	O=C1C=C(C(=O)C=C1C)C(C)C	Training	NON-Mutagen	NON-Mutagen
3230	491-35-0	n1ccc(c2ccccc12)C	Training	Mutagen	Mutagen
3231	4914-30-1	O(c1cc2c(cc1(OC))C(NCC2)CC5=C(CN4CCc3cc(OC)c(OC)cc3C4C5)CC)C	Training	NON-Mutagen	NON-Mutagen
3232	491-59-8	Oc2cccc3cc1cc(cc(O)c1c(O)c23)C	Training	Mutagen	Mutagen
3233	491-64-5	O=C1c3cc(OC)ccc3(Oc2cc(O)cc(O)c12)	Training	Mutagen	Mutagen
3234	491-80-5	O=C1C(=COc2cc(O)cc(O)c12)c3ccc(OC)cc3	Training	NON-Mutagen	NON-Mutagen
3235	492-27-3	O=C(O)c1nc2ccccc2(c(O)c1)	Training	NON-Mutagen	NON-Mutagen
3236	493-52-7	O=C(O)c2ccccc2(N=Nc1ccc(cc1)N(C)C)	Training	Mutagen	Mutagen
3237	4938-72-1	O=C(OCC(C)C)COc1cc(c(cc1Cl)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
3238	494-03-1	c1ccc2cc(ccc2(c1))N(CCCl)CCCl	Training	Mutagen	Mutagen
3239	4947-27-7	O=C3c4ccccc4(C(=O)c2c3(ccc(c2(Nc1ccccc1))C))	Training	Mutagen	Mutagen
3240	494-90-6	o1cc(c2c1CC(C)CC2)C	Training	NON-Mutagen	NON-Mutagen
3241	495-18-1	O=C(NO)c1ccccc1	Training	Mutagen	NON-Mutagen
3242	495-48-7	[O-][N+](=Nc1ccccc1)c2ccccc2	Training	Mutagen	Mutagen
3243	49562-28-9	O=C(c1ccc(OC(C(=O)OC(C)C)(C)C)cc1)c2ccc(cc2)Cl	Training	NON-Mutagen	NON-Mutagen
3244	496-14-0	O2Cc1ccccc1C2	Training	Mutagen	Mutagen
3245	496-72-0	Nc1ccc(cc1(N))C	Training	Mutagen	Mutagen
3246	497-23-4	O=C1OCC=C1	Training	NON-Mutagen	NON-Mutagen
3247	497-56-3	O=[N+]([O-])c1cc(O)c(c(c1)[N+](=O)[O-])C	Training	NON-Mutagen	Mutagen
3248	497841-28-8	N2=CNC(NC(c1ccccc1)C)=C3C=C(N=C23)c4ccc(cc4)CCl	Training	Mutagen	Mutagen
3249	49792-23-6	O=C(O)C6(C)(C(OC1OC(CO)C(O)C(O)C1(O))C(O)CC5(C)(C6(CCC3(C)(C5(CC=C2C4CC(C)(C)CCC4(C(=O)O)(CCC23(C)))))))	Training	NON-Mutagen	NON-Mutagen
3250	498-02-2	O=C(c1ccc(O)c(OC)c1)C	Training	NON-Mutagen	NON-Mutagen
3251	49852-84-8	c1ccc5c(c1)c2ccc3cccc4ccc(c2c34)c5CCl	Training	NON-Mutagen	Mutagen
3252	49852-85-9	c1ccc5c(c1)c2ccc3cccc4ccc(c2c34)c5CBr	Training	Mutagen	Mutagen
3253	4985-70-0	c2ccc3cc1c(cccc1Cl)cc3(c2)	Training	NON-Mutagen	Mutagen
3254	499-12-7	O=C(O)C=C(C(=O)O)CC(=O)O	Training	NON-Mutagen	NON-Mutagen
3255	499-75-2	Oc1cc(ccc1C)C(C)C	Training	NON-Mutagen	NON-Mutagen
3256	50-00-0	O=C	Training	Mutagen	Mutagen
3257	5000-65-7	O=C(c1cccc(OC)c1)CBr	Training	NON-Mutagen	NON-Mutagen
3258	50-01-1	N=C(N)N	Training	NON-Mutagen	Mutagen
3259	50-02-2	O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C)	Training	NON-Mutagen	NON-Mutagen
3260	5002-47-1	O=C(OCCN1CCN(CC1)CCCN4c2ccccc2Sc3ccc(cc34)C(F)(F)F)CCCCCCCCC	Training	NON-Mutagen	NON-Mutagen
3261	5003-48-5	O=C(Oc1ccc(cc1)NC(=O)C)c2ccccc2(OC(=O)C)	Training	NON-Mutagen	NON-Mutagen
3262	500-38-9	Oc1ccc(cc1(O))CC(C)C(C)Cc2ccc(O)c(O)c2	Training	NON-Mutagen	NON-Mutagen
3263	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	Mutagen	NON-Mutagen
3264	500-66-3	Oc1cc(O)cc(c1)CCCCC	Training	NON-Mutagen	NON-Mutagen
3265	50-07-7	O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N	Training	Mutagen	Mutagen
3266	501-30-4	O=C1C=C(OC=C1(O))CO	Training	Mutagen	Mutagen
3267	501-52-0	O=C(O)CCc1ccccc1	Training	NON-Mutagen	NON-Mutagen
3268	501-53-1	O=C(OCc1ccccc1)Cl	Training	NON-Mutagen	NON-Mutagen
3269	50-18-0	O=P1(OCCCN1)N(CCCl)CCCl	Training	Mutagen	Mutagen
3270	501-92-8	Oc1ccc(cc1)CC=C	Training	NON-Mutagen	NON-Mutagen
3271	502-44-3	O=C1OCCCCC1	Training	NON-Mutagen	NON-Mutagen
3272	50-24-8	O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C)	Training	NON-Mutagen	NON-Mutagen
3273	50264-69-2	O=C(O)c1nn(c2ccccc12)Cc3ccc(cc3Cl)Cl	Training	NON-Mutagen	NON-Mutagen
3274	502-65-8	C(=CC=C(C=CC=C(C=CC=C(C)CCC=C(C)C)C)C)C=C(C=CC=C(C=CC=C(C)CCC=C(C)C)C)C	Training	NON-Mutagen	NON-Mutagen
3275	50-27-1	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)C(O)CC34)	Training	NON-Mutagen	NON-Mutagen
3276	50-28-2	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	NON-Mutagen	NON-Mutagen
3277	50283-78-8	O=C(OCc2ccc(NCCN(CC)CC)c3C(=O)c1ccccc1Sc23)c4occc4	Training	Mutagen	Mutagen
3278	50285-71-7	O=NN(C(=O)N(C)C)CC	Training	Mutagen	Mutagen
3279	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
3280	50-30-6	O=C(O)c1c(cccc1Cl)Cl	Training	NON-Mutagen	NON-Mutagen
3281	503-30-0	O1CCC1	Training	Mutagen	Mutagen
3282	50330-59-1	O=C(c1nc2n(n1)c4ccc(cc4(C(=NC2)c3ccccc3Cl))Cl)N(C)C	Training	NON-Mutagen	NON-Mutagen
3283	50-33-9	O=C3N(c1ccccc1)N(c2ccccc2)C(=O)C3CCCC	Training	NON-Mutagen	NON-Mutagen
3284	50-34-0	O=C(OCC[N+](C)(C(C)C)C(C)C)C2c3ccccc3(Oc1ccccc12)	Training	NON-Mutagen	NON-Mutagen
3285	50-35-1	O=C3NC(=O)C(N2C(=O)c1ccccc1C2(=O))CC3	Training	NON-Mutagen	NON-Mutagen
3286	50385-24-5	O=[N+]([O-])c2ccccc2(C=Cc1ncccc1)	Training	Mutagen	Mutagen
3287	5042-54-6	N(=Nc1cc(c(N)cc1(N))C)c2ccccc2	Training	Mutagen	Mutagen
3288	504-29-0	n1ccccc1N	Training	NON-Mutagen	NON-Mutagen
3289	50438-75-0	OCCc1ccc(cc1)N(C)C	Training	Mutagen	Mutagen
3290	50-45-3	O=C(O)c1cccc(c1Cl)Cl	Training	NON-Mutagen	NON-Mutagen
3291	50474-48-1	ONc3ncnc1c3(ncn1Cc2ccccc2)	Training	Mutagen	Mutagen
3292	50-47-5	c1ccc3c(c1)N(c2ccccc2CC3)CCCNC	Training	NON-Mutagen	NON-Mutagen
3293	504-78-9	N1CCSC1	Training	Mutagen	NON-Mutagen
3294	50-48-6	c1ccc3c(c1)C(=CCCN(C)C)c2ccccc2CC3	Training	NON-Mutagen	NON-Mutagen
3295	504-88-1	O=C(O)CC[N+](=O)[O-]	Training	Mutagen	Mutagen
3296	50-49-7	c1ccc3c(c1)N(c2ccccc2CC3)CCCN(C)C	Training	NON-Mutagen	NON-Mutagen
3297	50502-17-5	O=C(Nc1nc2ccccc2(cc1))C	Training	NON-Mutagen	NON-Mutagen
3298	505-22-6	O1COCCC1	Training	Mutagen	NON-Mutagen
3299	505-23-7	C1CSCSC1	Training	Mutagen	NON-Mutagen
3300	505-29-3	C1CSCCS1	Training	Mutagen	Mutagen
3301	50-55-5	O=C(OC3CC4CN2CCc1c5ccc(OC)cc5([nH]c1C2CC4(C(C(=O)OC)C3(OC))))c6cc(OC)c(OC)c(OC)c6	Training	NON-Mutagen	NON-Mutagen
3302	505-60-2	C(CSCCCl)Cl	Training	Mutagen	Mutagen
3303	505-70-4	O=C(O)C=CC=CC(=O)O	Training	NON-Mutagen	NON-Mutagen
3304	50618-02-5	O(c1ccc(cc1)C2OC2(C))C	Training	Mutagen	Mutagen
3305	506-21-8	O=C(O)CCCCCCCC=CCC=CCCCCC	Training	NON-Mutagen	NON-Mutagen
3306	50648-96-9	O=C(O)C(NC(=O)COc1ccc(cc1Cl)Cl)C	Training	NON-Mutagen	NON-Mutagen
3307	50649-06-4	O=C(O)C(NC(=O)COc1ccc(cc1Cl)Cl)Cc3c[nH]c2ccccc23	Training	NON-Mutagen	NON-Mutagen
3308	50656-61-6	O=CC1=CC(C)C2CC(C)(C)CC2(C=C1(C=O))	Training	NON-Mutagen	Mutagen
3309	50-65-7	O=C(Nc1ccc(cc1Cl)[N+](=O)[O-])c2cc(ccc2(O))Cl	Training	Mutagen	Mutagen
3310	506-77-4	N#CCl	Training	NON-Mutagen	Mutagen
3311	50700-49-7	O=C1C=CC(=NC(=O)C)C=C1	Training	NON-Mutagen	NON-Mutagen
3312	50-70-4	OCC(O)C(O)C(O)C(O)CO	Training	NON-Mutagen	NON-Mutagen
3313	507-19-7	CC(C)(C)Br	Training	Mutagen	NON-Mutagen
3314	507-55-1	FC(C(F)(F)C(F)(F)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
3315	50-76-0	O=C6OC(C)C(NC(=O)c2ccc(c1OC=5C(=Nc12)C(C(=O)NC3C(=O)NC(C(=O)N4CCCC4(C(=O)N(C)CC(=O)N(C)C(C(=O)OC3(C))C(C)C))C(C)C)=C(N)C(=O)C=5C)C)C(=O)NC(C(=O)N7CCCC7(C(=O)N(C)CC(=O)N(C)C6C(C)C))C(C)C	Training	NON-Mutagen	NON-Mutagen
3316	507-70-0	OC1CC2CCC1(C)C2(C)(C)	Training	NON-Mutagen	NON-Mutagen
3317	50782-69-9	O=P(OCC)(C)SCCN(C(C)C)C(C)C	Training	NON-Mutagen	NON-Mutagen
3318	50-79-3	O=C(O)c1cc(ccc1Cl)Cl	Training	NON-Mutagen	NON-Mutagen
3319	50834-39-4	O=C(O)C(NC(=O)COc1ccc(cc1Cl)Cl)CCSC	Training	NON-Mutagen	NON-Mutagen
3320	50-84-0	O=C(O)c1ccc(cc1Cl)Cl	Training	NON-Mutagen	NON-Mutagen
3321	508-71-4	O=C1OC34(CCCC1(C)C4(CC(=O)C2CC(C=C)(C)CCC23(C)))	Training	NON-Mutagen	NON-Mutagen
3322	50892-23-4	O=C(O)CSc1nc(cc(n1)Cl)Nc2cccc(c2C)C	Training	NON-Mutagen	NON-Mutagen
3323	50-89-5	O=C1NC(=O)N(C=C1C)C2OC(CO)C(O)C2	Training	NON-Mutagen	NON-Mutagen
3324	509-14-8	O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]	Training	Mutagen	Mutagen
3325	50935-04-1	O=C1c5cccc(O)c5(C(=O)c2c(O)c4c(c(O)c12)CC(O)(C(=O)C)CC4(OC3OC(C)C(O)C(N)C3))	Training	Mutagen	Mutagen
